dt_compra,produto,valor_produto
2026-01-07,Arroz,27.90
2026-02-11,Arroz,28.50
2026-03-18,Arroz,29.20
2026-04-23,Arroz,28.90
2026-05-29,Arroz,30.10
2026-01-10,Feijão,8.49
2026-02-14,Feijão,8.79
2026-03-22,Feijão,9.19
2026-04-26,Feijão,9.49
2026-05-31,Feijão,9.29
2026-01-15,Pipoca,5.49
2026-02-28,Pipoca,5.79
2026-03-27,Pipoca,5.99
2026-04-30,Pipoca,6.19
2026-05-28,Pipoca,5.89
2026-01-12,Macarrão,4.69
2026-02-16,Macarrão,4.89
2026-03-20,Macarrão,5.09
2026-04-25,Macarrão,5.19
2026-05-30,Macarrão,5.29
2026-01-09,Refrigerante,8.99
2026-01-30,Refrigerante,8.49
2026-02-20,Refrigerante,8.99
2026-03-13,Refrigerante,9.49
2026-04-03,Refrigerante,9.29
2026-04-24,Refrigerante,9.79
2026-05-15,Refrigerante,9.99
